,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31,5.538612604141235,0.3199219879045982,0.22220845222473146,0.006054009759284811,elu,0.4,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.7597784077197102,0.778232745831108,0.7660553721107443,0.7794148302561048,0.7643984463346281,0.7695759604504591,0.007835005122758188,1
33,14.09050793647766,0.2077176648148971,0.22645463943481445,0.00709858695993376,elu,0.4,3e-05,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 500)])",0.7719278024111487,0.7693311969616047,0.7633561933790534,0.7788862418106015,0.7583017847485126,0.7683606438621842,0.007080677607556695,2
28,6.685810565948486,1.7105197346029424,0.19898972511291504,0.006077041247888559,elu,0.4,0.03,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 25)])",0.7682826238082031,0.7736109220259227,0.7734010668021336,0.76486748064324,0.746821377648852,0.7653966941856704,0.009850833073374698,3
12,10.93078808784485,1.6500502610273462,0.23208818435668946,0.004999854742091016,relu,0.4,0.0003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.7534533744916742,0.7781664205650215,0.756992633985268,0.7767793329362715,0.7557942868380944,0.7642372097632659,0.010875529376862151,4
9,6.4840898513793945,1.3501395976924009,1.8075105667114257,1.5371847431258747,elu,0.4,0.03,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 25)])",0.7687508779765656,0.7777056345058942,0.764213021759377,0.7713929422275164,0.7381238015634988,0.7640372556065704,0.01367250479927378,5
35,5.838861083984375,0.22306536091642426,0.22102441787719726,0.012523818282367802,elu,0.4,0.003,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.7556325573521306,0.7729895590067966,0.7568503937007874,0.7750297796307326,0.7531294557254535,0.7627263490831802,0.009312969194339889,6
46,9.036118078231812,0.9989494877177232,0.366153621673584,0.026172015816984487,elu,0.4,0.03,2,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 50)])",0.7568103966833197,0.7710172550415929,0.7644500889001777,0.7657906491959501,0.752750872707606,0.7621638525057294,0.006542582754049071,7
7,7.719487094879151,1.4532630782397964,0.25452508926391604,0.004157464455096406,elu,0.6,0.003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.7614677246809568,0.7668387632781436,0.7710981288629244,0.7667622096486003,0.7436894635921137,0.7619712580125477,0.009637667245304623,8
2,6.174820232391357,1.1140186925188935,0.23036017417907714,0.0075409476171849656,relu,0.4,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.7545123493032018,0.7714675686902855,0.7428735924138516,0.7850059559261464,0.7430945474212105,0.7593908027509393,0.016517686465580633,9
30,5.769971895217895,0.22124109622119484,0.2274610996246338,0.005282017158685173,relu,0.4,0.003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.748262957133132,0.7622832647390451,0.7557531115062229,0.7784395473496128,0.7517822901814248,0.7593042341818876,0.010640815248452468,10
45,9.92304277420044,0.612377867782159,0.47965641021728517,0.10937008916597388,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.7515767558630824,0.7709718745963758,0.7617644568622471,0.7653104526503871,0.7460592949505875,0.7591365669845359,0.009091347135966122,11
20,9.893608617782593,1.5947655437855042,1.0196215152740478,1.1894113438384426,elu,0.4,0.003,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 50)])",0.7565042304963134,0.7634806103320801,0.7600982135297605,0.7687909469922574,0.7432174639854465,0.7584182930671715,0.008611271434553576,12
21,10.187211847305297,1.6295425275598172,0.19503569602966309,0.010335476767460492,elu,0.4,0.003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 25)])",0.7626635737878521,0.7632781437303424,0.755746338159343,0.765928379988088,0.7441614631987806,0.7583555797728814,0.00785390143259685,13
