,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
81,9.316928339004516,0.1298237044680404,0.3674142360687256,0.0029262707474149922,True,120,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7720410628019323,0.790038133820229,0.7516475522081479,0.7797861159723535,0.8204480593607305,0.7827921848326787,0.02264985597937685,1
56,12.3044837474823,0.1563139490414594,0.48587884902954104,0.0051270602117861365,True,40,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7716725626687968,0.7888185172505611,0.7523060976073643,0.7793982805965004,0.8202126141552512,0.7824816144556948,0.022363761046132104,2
1,6.226052904129029,0.1027858615169098,0.24451923370361328,0.0024467972888729656,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7722692951424551,0.7867097455209404,0.7536517174483625,0.7802840774425849,0.8185430936073059,0.7822915858323298,0.021252813520338597,3
60,12.335182332992554,0.13588678883648428,0.48131303787231444,0.002608297988744843,True,40,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7726782114192248,0.7872185134466887,0.7495768192019476,0.778964958355578,0.8217037671232876,0.7820284539093454,0.02345629054833684,4
74,12.356278800964356,0.1785252153776313,0.48303794860839844,0.010915451143025084,True,60,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7723596371105785,0.7881718589524136,0.7492249610103084,0.7797382350617543,0.8196323249619483,0.7818254034194008,0.022918929570081546,5
93,9.270949983596802,0.11278741224787005,0.36893157958984374,0.00857615333406634,True,80,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.7703221879873712,0.7859703678344554,0.7536326980866523,0.7809065292803739,0.8178843226788433,0.7817432211735392,0.021191458408951588,6
79,9.235172986984253,0.06646591232983727,0.3665354251861572,0.0021543195204292887,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7663447639697213,0.7878104910799194,0.7549640534063677,0.7812201492447984,0.8182933789954338,0.7817265673392482,0.02157421761721174,7
78,12.34032506942749,0.1737742321907801,0.4835178375244141,0.004791043497913767,True,60,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.770162900833048,0.7869783940050972,0.7537111529537069,0.7798004802455332,0.8178248668188738,0.7816955589712518,0.021227132348987772,8
6,12.545493745803833,0.1593057685204207,0.484605073928833,0.006149842824251911,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7730704857544981,0.7877867168777816,0.751378903723991,0.7774327692164049,0.8180793378995433,0.7815496426944438,0.02178273612664645,9
68,12.426921081542968,0.2040057687561884,0.4839214324951172,0.006753974897911033,True,40,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7706788010194376,0.7865742325687549,0.7515690973410932,0.779130147497145,0.8197131849315069,0.7815330926715875,0.0223810783716333,10
43,12.594518899917603,0.2019027114346057,0.4917100429534912,0.0164140427281488,True,40,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7712517592909581,0.7875204458138385,0.7529004526608087,0.7776362630864514,0.8182933789954339,0.7815204599694981,0.02157723532439438,11
85,9.287686395645142,0.18760763818352488,0.3662832736968994,0.009476150469107445,True,60,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.770450568678915,0.7896625014264522,0.7533711818631368,0.7742391124794411,0.8192351598173516,0.7813917048530593,0.022165517844913774,12
