,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
64,0.5955514430999755,0.015601609055077173,0.022862577438354494,0.0006012024196866468,0.6,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7981831754726312,0.7943793031305868,0.768539122827038,0.7842222823393656,0.8232068112633181,0.7937061390065879,0.017967241912554496,1
63,0.6068008422851563,0.006848282122900503,0.02485179901123047,0.0027016692629609515,0.6,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7981831754726312,0.7943793031305868,0.768539122827038,0.7842222823393656,0.8232068112633181,0.7937061390065879,0.017967241912554496,1
62,0.6022648334503173,0.004877561413885132,0.024982404708862305,0.0025805484737961995,0.6,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7981831754726312,0.7943793031305868,0.768539122827038,0.7842222823393656,0.8232068112633181,0.7937061390065879,0.017967241912554496,1
80,0.6074889183044434,0.006998295189755328,0.023968982696533202,0.0011860346720296438,0.6,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7981831754726312,0.7943793031305868,0.768539122827038,0.7842222823393656,0.8232068112633181,0.7937061390065879,0.017967241912554496,1
68,0.6718398571014405,0.008621226758285352,0.02395944595336914,0.001621192457201334,0.8,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7920470539008712,0.797938301190612,0.7691929133858268,0.7864798672741158,0.8186881659056316,0.7928692603314116,0.01608962915685428,5
92,0.5977890014648437,0.010854268665158021,0.02407660484313965,0.0004942793930677988,0.8,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.8000589600213016,0.7929029251778309,0.7673242610977975,0.7886560546608475,0.8140315829528159,0.7925947567821187,0.015293515884583464,6
49,0.5412190437316895,0.007060898076290988,0.023545551300048827,0.0006335194204217674,0.6,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7974128913233671,0.7923513636882346,0.7642407470805279,0.7884908655192805,0.8186310882800609,0.7922253911782943,0.017442900294590467,7
78,0.5395145416259766,0.004560467928634759,0.02482738494873047,0.0017431503402817825,0.6,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7974128913233671,0.7923513636882346,0.7642407470805279,0.7884908655192805,0.8186310882800609,0.7922253911782943,0.017442900294590467,7
82,0.5428711414337158,0.007490383832483508,0.02375369071960449,0.0009115239046765074,0.6,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7974128913233671,0.7923513636882346,0.7642407470805279,0.7884908655192805,0.8186310882800609,0.7922253911782943,0.017442900294590467,7
44,0.5540505409240722,0.006617387347977712,0.02438673973083496,0.0004798734934213185,1.0,0.03,6,6,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.8001445471489976,0.790680037277949,0.7638484727452547,0.7842605870678448,0.8188451293759513,0.7915557547231995,0.01811163797695115,10
93,1.0006299495697022,0.012580754184370343,0.03275313377380371,0.0009139177781809237,0.6,0.03,8,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7918925215869755,0.7946360645136749,0.7636368823462286,0.7884046798802019,0.8186073059360731,0.7914354908526308,0.017496905633988535,11
86,0.8096094131469727,0.012077146671139936,0.03286552429199219,0.0005153445245526067,0.6,0.03,8,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7910009890068089,0.7940868804442922,0.7656624443683671,0.7898387131526468,0.8161791286149163,0.7913536311174061,0.016038905120699,12
88,0.5355341911315918,0.011301275534945242,0.024721574783325196,0.0006627561771763829,0.8,0.03,6,4,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7958580585035567,0.787931739510822,0.767383696603142,0.7859220546656356,0.8161577245053273,0.7906506547576967,0.015803994188805678,13
41,0.7011011600494385,0.0038743011932372384,0.03314814567565918,0.00031671933972957436,0.6,0.03,8,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.7931644414013466,0.7898954886074023,0.7632564951120241,0.7870161334728264,0.8195443302891933,0.7905753777765586,0.01791845573405852,14
48,0.5082021236419678,0.007367340897308685,0.02449793815612793,0.00054085819629462,0.6,0.03,6,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.79851601430256,0.7862081098558333,0.7618775913880329,0.784480839256601,0.8207833904109589,0.7903731890427972,0.019262153082155446,15
79,0.505229377746582,0.0097596398288381,0.024126482009887696,0.0007463381627015335,0.6,0.03,6,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.79851601430256,0.7862081098558333,0.7618775913880329,0.784480839256601,0.8207833904109589,0.7903731890427972,0.019262153082155446,15
53,2.067400360107422,0.014310837825997291,0.04078216552734375,0.0010589198623129957,0.6,0.03,20,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.7891846399634828,0.7951519647000647,0.7631732854045418,0.783915844511531,0.8204004946727549,0.790365245850475,0.018479286620135822,17
39,1.6281047344207764,0.019118139226182006,0.048122215270996097,0.0008627832218976935,0.6,0.03,12,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7880743847236488,0.7983971432918711,0.7639911179580814,0.7857999583436078,0.8103048896499239,0.7893134987934266,0.015350924589776669,18
70,0.6737348079681397,0.006319999969327571,0.023193359375,0.0004817978314504873,1.0,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7931739510822016,0.7888327817718437,0.7610074555897904,0.7818928760387165,0.8189949581430747,0.7887804045251253,0.018713631321969116,19
23,0.48241481781005857,0.008954954286353635,0.01997666358947754,0.00012333496105487341,1.0,0.05,8,4,100,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.6)])",0.7952589486096846,0.7895198562136255,0.759162577503899,0.7826182718342938,0.816531107305936,0.7886181522934879,0.018588575819085438,20
