,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,7.657486009597778,1.8709891205240436,0.20578184127807617,0.004296488952625813,relu,0.6,0.03,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.7465214114422747,0.7509434049074623,0.7446502826890798,0.7497140874669762,0.7369637432304841,0.7457585859472554,0.004933312014931016,1
25,6.253812456130982,1.2321033987260277,0.2687028408050537,0.11060134977152647,relu,0.6,0.03,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 500)])",0.7527145304164831,0.7500125480590661,0.7441924115650121,0.7509740214883417,0.7292723056103054,0.7454331634278417,0.008572082214425115,2
26,6.773471641540527,0.6017441962646032,0.26215534210205077,0.10478667361343898,relu,0.6,0.03,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 500)])",0.7488519551705575,0.7489430351579884,0.7403634100632264,0.7517001241896586,0.7362582134654707,0.7452233476093804,0.005881226510413523,3
21,5.6659986019134525,0.6505284528751722,0.23404808044433595,0.0023917297193248583,relu,0.4,0.03,4,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 500)])",0.752494102677042,0.7480203345479854,0.739382201315009,0.7490977444763234,0.7233160139613872,0.7424620793955494,0.010503572850458142,4
2,10.992267274856568,0.1106447446647665,0.1654794692993164,0.005000502142335019,elu,0.4,0.0003,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 200)])",0.7492148974697793,0.7461372891507809,0.742471746867073,0.7459565443651821,0.7274629566791088,0.7422486869063849,0.007694999649945115,5
40,3.5101160526275637,0.23714151114837598,0.1612997531890869,0.0031694350679017224,relu,0.6,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.751739636861939,0.741612877320136,0.7408417887656331,0.7474805157324811,0.7295426450427208,0.742243492744582,0.007500361925632928,6
32,8.142488956451416,1.903080704889314,0.2128843307495117,0.002134805775809778,relu,0.8,0.003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 1500)])",0.7497088043850635,0.7359838180230281,0.7444767570262119,0.7517350477339608,0.7291523775831654,0.7422113609502861,0.008501336658262889,7
49,4.831915712356567,0.5914948096464462,0.18226394653320313,0.0019095603374452161,relu,0.4,0.03,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 50)])",0.747222630059218,0.7433327979494799,0.7428428551597067,0.7492621921547137,0.7280277013687838,0.7421376353383804,0.007451610113657913,8
16,7.288338470458984,0.6582013426195997,0.22446274757385254,0.0030662391517031953,relu,0.6,0.03,4,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 50)])",0.7491305241521068,0.7437790905836019,0.7417512209896643,0.7505211667380488,0.724575057697815,0.7419514120322473,0.00927683698081922,9
42,4.019988107681274,0.3484483332610689,0.18170223236083985,0.0018798330042250602,elu,0.2,0.03,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 25)])",0.7502252239025107,0.7427091594138885,0.7426780057799821,0.7452853215191971,0.7273406220694845,0.7416476665370124,0.0076640317275819105,10
