,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,20.975814962387084,3.0621416129062786,0.9382861614227295,0.10596399460447764,True,,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7581816966564316,0.7826146288209608,0.7663897238133046,0.773845053106594,0.7736860628426893,0.7709434330479961,0.00819458859794633,1
94,20.850997352600096,3.0661412817082434,0.9300018310546875,0.10398963591220592,True,60,auto,6,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7566400964911572,0.7819928239259182,0.7663801030535279,0.7745228103150749,0.7749933774030159,0.7709058422377387,0.008679923751087726,2
70,29.82971844673157,4.388216205188431,1.3345388889312744,0.1527636807879872,True,60,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7573991238019621,0.7823252464939926,0.765738803461043,0.7737701124514912,0.7752600523684862,0.7708986677153951,0.008563824595847523,3
75,31.327430772781373,4.593432198480855,1.3969767093658447,0.14872856990769823,True,80,sqrt,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7569826461747858,0.7826612135525111,0.7660274262543447,0.7741286123421183,0.7743089791282562,0.7708217754904032,0.00869224180075404,4
88,29.74516668319702,4.414285624240314,1.3329203605651856,0.14828651624346864,True,80,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7577242042112596,0.7820659923357989,0.7656747494551612,0.7735984578428433,0.7747775579100881,0.7707681923510303,0.008340437477256213,5
24,20.87800211906433,3.003810183842101,0.9343930721282959,0.10106999232210921,True,60,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7568978315820176,0.7827255207362818,0.7654354963501875,0.7741632977128923,0.7746105697912927,0.7707665432345344,0.008832812098379167,6
85,29.70284743309021,4.390924230325912,1.3287597179412842,0.15221309336521796,True,60,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7575155856308382,0.7821032094854615,0.766166674093218,0.7735668106067358,0.7743960153598708,0.7707496590352247,0.008322016763989084,7
45,30.962702751159668,4.7894056671675695,1.3850789546966553,0.16367261408642433,True,80,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7569547966070111,0.781994849349029,0.7658747599873614,0.7740367087684616,0.7746890036046663,0.7707100236633059,0.008565424123835314,8
64,29.874553775787355,4.387812996022867,1.3440856456756591,0.15064010435066783,True,,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7569697341024539,0.7823766416054314,0.7661818647665497,0.7735546580680703,0.7744081599503286,0.7706982116985668,0.008569448216769426,9
89,29.716700315475464,4.446596620400159,1.3539166927337647,0.15728581995815766,True,80,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7570196101465596,0.7821910622128962,0.7658896974828042,0.7737916325720443,0.7745751480691241,0.7706934300966857,0.008566345035424626,10
22,20.984502601623536,3.0854293439228284,0.9471728801727295,0.11189899577252488,True,80,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7568580826534663,0.7818629436689324,0.7664535246412975,0.7736822597240564,0.7742545814834971,0.7706222784342499,0.008434942317902731,11
43,31.05027937889099,4.5465776205949835,1.3857605934143067,0.15130930387604558,True,80,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7569727722371202,0.782177137429009,0.7655706933428394,0.7742217818052191,0.7741242801483765,0.7706133329925129,0.008608859833552071,12
56,29.760130596160888,4.39994280286508,1.3405887603759765,0.15729488327565147,True,40,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7574621650962885,0.7820275092966921,0.7651445949558863,0.7741124089572312,0.774287726094955,0.7706068808802107,0.008472168820086072,13
74,29.763750410079957,4.406745731959793,1.3322937965393067,0.15063793574465972,True,60,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7571877202647632,0.7814895062828624,0.7654901827741815,0.7738063168895983,0.7749923653538111,0.7705932183130434,0.008416102878452812,14
15,26.656385040283205,4.1468168455031345,1.2053402423858643,0.14866613461009703,True,,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.756813270167138,0.7818196502499373,0.7649906627994587,0.7743929300580892,0.7749288592662087,0.7705890745081663,0.008724034378485226,15
6,21.53766393661499,3.2291802646614083,0.9743065357208252,0.11994290022235954,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.757316081454416,0.78201687582536,0.7650293990164545,0.7737285912777179,0.7747967868449797,0.7705775468837854,0.008546785633773034,16
90,29.763265085220336,4.446542526089256,1.334870958328247,0.15326889398054164,True,80,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7565150266140597,0.781741671460168,0.7659198256515786,0.7740789894759015,0.7745883047087866,0.7705687635820989,0.008630555182549248,17
